N,value
1,0
2,271304.60934158583
3,3778049.1743795658
4,50222278.15842065
5,154232390.85967082
6,322154035.6885325
7,850073310.1956497
8,4468242077.47396
9,6453902203.10795
10,15109914253.367548
11,82897828549.55771
12,49122484830.15707
13,194470382757.99893
14,164083297034.32196
15,432028667526.14685
16,570358605675.3821
17,1048174540541.1813
18,786989434672.6149
19,2225709968746.316
20,2977144446828.723
