N,value
1,0
2,52.80905516204397
3,162.84186256174618
4,300.60300067043875
5,541.3020750306207
6,642.7242291307413
7,1622.7101999949787
8,1425.3429381460523
9,1811.9673526271786
10,2047.3839668345972
11,1708.7658523189216
12,4836.356964867952
13,2376.1402577326216
14,3801.9644744315156
15,7194.632010265649
