x,ecdf_n10,ecdf_n100,ecdf_n1000,F1
-5.658184699009542,0.0002,0.0,0.0,76.69111381985523
-5.648134774139056,0.0002,0.0,0.0,75.69649264286275
-5.6380848492685685,0.0002,0.0,0.0,74.7178558277582
-5.628034924398082,0.0002,0.0,0.0,73.75500245792877
-5.617984999527595,0.0002,0.0,0.0,72.80773089963024
-5.607935074657108,0.0002,0.0,0.0,71.87583898653794
-5.597885149786621,0.0002,0.0,0.0,70.95912419678676
-5.587835224916135,0.0002,0.0,0.0,70.0573838227747
-5.577785300045647,0.0002,0.0,0.0,69.17042032115675
-5.567735375175161,0.0002,0.0,0.0,68.29808458026051
-5.557685450304674,0.0002,0.0,0.0,67.44011381847862
-5.547635525434187,0.0002,0.0,0.0,66.59630614420257
-5.5375856005637,0.0002,0.0,0.0,65.76646022167452
-5.527535675693214,0.0002,0.0,0.0,64.95037539802107
-5.517485750822727,0.0002,0.0,0.0,64.14785182320134
-5.50743582595224,0.0002,0.0,0.0,63.35869056293318
-5.497385901081754,0.0002,0.0,0.0,62.58269370540761
-5.487335976211266,0.0002,0.0,0.0,61.819664462159956
-5.47728605134078,0.0002,0.0,0.0,61.06940726305136
-5.467236126470293,0.0002,0.0,0.0,60.33172784493984
-5.457186201599806,0.0002,0.0,0.0,59.606433334327726
-5.447136276729319,0.0002,0.0,0.0,58.89333232464526
-5.437086351858833,0.0002,0.0,0.0,58.19223494861107
-5.427036426988345,0.0002,0.0,0.0,57.50295294537695
-5.416986502117859,0.0002,0.0,0.0,56.82529972222465
-5.406936577247372,0.0002,0.0,0.0,56.15909041128475
-5.396886652376885,0.0004,0.0,0.0,55.50414192198587
-5.386836727506399,0.0004,0.0,0.0,54.86027298928498
-5.376786802635912,0.0006,0.0,0.0,54.227304217283965
-5.366736877765425,0.0006,0.0,0.0,53.60505811838551
-5.356686952894938,0.0006,0.0,0.0,52.99335914871129
-5.3466370280244515,0.0006,0.0,0.0,52.39203374009136
-5.336587103153964,0.0006,0.0,0.0,51.80091032824506
-5.326537178283478,0.0006,0.0,0.0,51.21981937710327
-5.3164872534129906,0.0006,0.0,0.0,50.64859339997551
-5.306437328542504,0.0006,0.0,0.0,50.08706697792851
-5.296387403672017,0.0006,0.0,0.0,49.53507677498604
-5.2863374788015305,0.0006,0.0,0.0,48.99246155009247
-5.276287553931043,0.0006,0.0,0.0,48.45906216657727
-5.266237629060557,0.0006,0.0,0.0,47.934721599346396
-5.25618770419007,0.0006,0.0,0.0,47.41928493931805
-5.246137779319583,0.0006,0.0,0.0,46.912599395343214
-5.236087854449097,0.0006,0.0,0.0,46.41451429423072
-5.2260379295786095,0.0006,0.0,0.0,45.92488107880689
-5.215988004708123,0.0006,0.0,0.0,45.44355330364128
-5.205938079837636,0.0008,0.0,0.0,44.97038662904199
-5.195888154967149,0.001,0.0,0.0,44.50523881357125
-5.185838230096662,0.001,0.0,0.0,44.04796970466331
-5.175788305226176,0.001,0.0,0.0,43.59844122768102
-5.165738380355688,0.001,0.0,0.0,43.1565173737621
-5.155688455485202,0.001,0.0,0.0,42.72206418618656
-5.145638530614715,0.001,0.0,0.0,42.29494974543437
-5.135588605744228,0.001,0.0,0.0,41.875044153233354
-5.125538680873742,0.0012,0.0,0.0,41.46221951541512
-5.115488756003255,0.0012,0.0,0.0,41.05634992377762
-5.105438831132768,0.0012,0.0,0.0,40.657311437084516
-5.095388906262281,0.0012,0.0,0.0,40.26498206112454
-5.085338981391795,0.0014,0.0,0.0002,39.87924172804802
-5.075289056521307,0.0016,0.0,0.0002,39.49997227494356
-5.065239131650821,0.0016,0.0,0.0002,39.12705742175418
-5.055189206780334,0.0016,0.0002,0.0002,38.760382748707066
-5.045139281909847,0.0016,0.0002,0.0002,38.399835673022366
-5.03508935703936,0.0016,0.0002,0.0002,38.04530542515439
-5.025039432168874,0.0016,0.0002,0.0002,37.69668302481752
-5.014989507298386,0.0016,0.0002,0.0002,37.35386125646789
-5.0049395824279,0.0016,0.0002,0.0002,37.01673464428482
-4.9948896575574135,0.0016,0.0002,0.0002,36.68519942707997
-4.984839732686926,0.002,0.0002,0.0002,36.35915353306665
-4.97478980781644,0.0022,0.0002,0.0004,36.038496554128855
-4.964739882945953,0.0022,0.0002,0.0004,35.72312971987891
-4.954689958075466,0.0024,0.0002,0.0004,35.41295587185439
-4.944640033204979,0.0024,0.0002,0.0004,35.107879437630274
-4.9345901083344925,0.0024,0.0002,0.0004,34.80780640457283
-4.924540183464005,0.0028,0.0002,0.0004,34.512644293505126
-4.914490258593519,0.0028,0.0002,0.0004,34.22230213266049
-4.904440333723032,0.0028,0.0002,0.0004,33.936690431702004
-4.894390408852545,0.0028,0.0002,0.0004,33.65572115551849
-4.884340483982058,0.0028,0.0002,0.0004,33.37930769792532
-4.8742905591115715,0.0028,0.0002,0.0008,33.10736485571174
-4.864240634241085,0.0028,0.0002,0.0008,32.8398088029744
-4.854190709370598,0.0028,0.0002,0.0008,32.5765570654106
-4.844140784500111,0.0028,0.0002,0.0008,32.31752849455723
-4.834090859629624,0.0028,0.0004,0.0008,32.06264324213945
-4.824040934759138,0.0028,0.0004,0.0008,31.811822734892278
-4.8139910098886505,0.0028,0.0004,0.0008,31.564989649715287
-4.803941085018164,0.0028,0.0004,0.0008,31.32206788880148
-4.793891160147677,0.0028,0.0004,0.0008,31.08298255483372
-4.78384123527719,0.0028,0.0004,0.0008,30.84765992641655
-4.773791310406704,0.0028,0.0006,0.0008,30.6160274339087
-4.763741385536217,0.0028,0.0006,0.0008,30.3880136357689
-4.7536914606657295,0.0028,0.0006,0.0008,30.16354819504505
-4.743641535795243,0.003,0.0006,0.0008,29.942561855836374
-4.733591610924757,0.003,0.0006,0.0008,29.724986420075002
-4.723541686054269,0.003,0.0008,0.0008,29.510754724765775
-4.713491761183783,0.003,0.001,0.001,29.299800619650743
-4.703441836313296,0.003,0.001,0.001,29.09205894528245
-4.693391911442809,0.003,0.0012,0.001,28.88746551123913
-4.683341986572322,0.003,0.0012,0.001,28.685957074431293
-4.673292061701836,0.0032,0.0014,0.0012,28.487471317897825
-4.663242136831348,0.0032,0.0014,0.0014,28.291946830159905
-4.653192211960862,0.0032,0.0014,0.0014,28.099323084950527
-4.643142287090376,0.0032,0.0014,0.0016,27.90954042129439
-4.633092362219888,0.0032,0.0014,0.0018,27.722540023755197
-4.623042437349401,0.0032,0.0014,0.002,27.538263902939146
-4.612992512478915,0.0032,0.0016,0.002,27.35665487663864
-4.602942587608428,0.0034,0.0016,0.002,27.177656551506942
-4.592892662737941,0.0034,0.0016,0.002,27.001213305043162
-4.5828427378674546,0.0036,0.0016,0.002,26.827270267905405
-4.572792812996967,0.0036,0.0018,0.002,26.65577330647627
-4.562742888126481,0.0036,0.0018,0.002,26.48666900590796
-4.552692963255994,0.0038,0.002,0.002,26.319904653826452
-4.542643038385507,0.0042,0.002,0.002,26.15542822444971
-4.53259311351502,0.0042,0.0022,0.002,25.993188363044744
-4.5225431886445335,0.0048,0.0024,0.002,25.833134370696843
-4.512493263774047,0.005,0.0028,0.002,25.675216189514583
-4.50244333890356,0.0052,0.0032,0.002,25.519384388492277
-4.492393414033073,0.0056,0.0036,0.002,25.365590149884476
-4.482343489162586,0.006,0.0038,0.0022,25.21378525592246
-4.4722935642921,0.0066,0.0038,0.0022,25.063922075921077
-4.4622436394216125,0.0066,0.004,0.0022,24.9159535538495
-4.452193714551126,0.0066,0.0042,0.0022,24.7698331965192
-4.442143789680639,0.0068,0.0042,0.0024,24.625515062323352
-4.432093864810152,0.007,0.0042,0.0026,24.482953750364892
-4.422043939939665,0.0072,0.0042,0.0028,24.34210439002448
