n,var_b
1,0.0
2,0.22979797979797975
3,0.3030303030303031
4,0.4116161616161617
5,0.35717171717171725
6,0.3308080808080809
7,0.36070707070707064
8,0.3874747474747475
9,0.30414141414141416
10,0.31060606060606055
11,0.3963636363636363
12,0.401111111111111
13,0.27666666666666656
14,0.3559595959595959
15,0.45454545454545453
16,0.36878787878787883
17,0.4024242424242424
18,0.41404040404040415
19,0.3632323232323232
20,0.3713131313131314
